timestamp,period,age_group,intervention_type,wellbeing_general,sleep_quality,anxiety_level,time_awareness,social_comparison,perfection_pressure,self_control,daily_screen_time,primary_platform,withdrawal_symptoms
2024-01-15T10:30:00Z,pre,16-18,workshops,3,2,4,4,3,4,2,2-4,instagram,3
2024-01-15T14:45:00Z,pre,13-15,,2,3,4,5,4,5,2,4-6,tiktok,4
2024-02-15T09:15:00Z,post,16-18,workshops,4,3,3,3,2,3,3,1-2,instagram,2
2024-02-15T16:20:00Z,post,13-15,,3,4,3,4,3,3,3,2-4,tiktok,3

# INSTRUÇÕES DE USO:
# 
# Este arquivo CSV serve como template para as respostas do survey de impacto.
# 
# COLUNAS:
# - timestamp: Data e hora da resposta (ISO format)
# - period: pre/post/followup (pré-intervenção, pós-intervenção, acompanhamento)
# - age_group: 13-15, 16-18, 19-21 (faixa etária)
# - intervention_type: workshops, peer-support, less-screen, phone-free, mindfulness, parents (tipo de intervenção participou)
# - wellbeing_general: 1-5 (bem-estar geral)
# - sleep_quality: 1-5 (qualidade do sono)
# - anxiety_level: 1-5 (nível de ansiedade - valores altos = mais ansiedade)
# - time_awareness: 1-5 (consciência do tempo de uso - valores altos = menos consciência)
# - social_comparison: 1-5 (comparação social - valores altos = mais comparação)
# - perfection_pressure: 1-5 (pressão por perfeição - valores altos = mais pressão)
# - self_control: 1-5 (autocontrole - valores altos = melhor controle)
# - daily_screen_time: 0-1, 1-2, 2-4, 4-6, 6+ (horas diárias em redes sociais)
# - primary_platform: instagram, tiktok, twitter, youtube, whatsapp, other
# - withdrawal_symptoms: 1-5 (sintomas quando sem acesso - valores altos = mais sintomas)
#
# ESCALA LIKERT (1-5):
# 1 = Discordo totalmente / Nunca
# 2 = Discordo parcialmente / Raramente  
# 3 = Neutro / Às vezes
# 4 = Concordo parcialmente / Frequentemente
# 5 = Concordo totalmente / Sempre
#
# COMO USAR:
# 1. As respostas do site são salvas automaticamente no localStorage
# 2. Use o botão "Exportar Respostas (CSV)" na página de intervenções
# 3. O arquivo gerado seguirá este formato
# 4. Para análise manual, adicione dados seguindo esta estrutura
#
# PRIVACIDADE:
# - Nenhum dado pessoal identificável é coletado
# - Todas as respostas são anônimas
# - Apenas dados agregados devem ser divulgados
#
# ANÁLISE RECOMENDADA:
# - Compare médias pré vs pós por tipo de intervenção
# - Analise correlações entre variáveis
# - Use testes estatísticos apropriados (t-test, ANOVA)
# - Considere tamanho da amostra para significância
